"Date","Time","R_or_D","screen_name","text","Before_or_After","hashtags","Nominate_dim1","total_victims","Before_or_After_Shooting","case","race","mentions_terror","Shooting_related_terrorism"
"10/1/15",19:45:14,"R","RepComstock","3 NOVA victims of Iranian terrorist acts are entitled to $645.5 mill. in restitution. https://t.co/TNqhGhfzQY #VA10 https://t.co/b2yTduSYmK","After","VA10",0.275,18,"After","General-Iran",,1,0
"10/1/15",19:46:09,"R","RepMoolenaar","Today, the House passed the Justice for Victims of Iranian Terrorism Act. Iran owes $43.5 billion to terror victims. https://t.co/pZ5Zi7L7Jb","After",,0.401,18,"After","General-Iran",,1,0
"10/1/15",19:46:47,"R","RepMoolenaar","Chief Warrant Officer Kenneth Welch of Michigan was a victim of Iranian sponsored terror in in Lebanon in 1984. https://t.co/V9MdrAsxPW","After",,0.401,18,"After","General-Iran",,1,0
"10/1/15",19:51:40,"R","RepReneeEllmers","I voted for  #NotOneCent to go to Iran until it pays the $43.5B owed to victims of terrorism. https://t.co/YagGlQHmaY","After","NotOneCent",0.406,18,"After","General-Iran",,1,0
"10/1/15",20:03:26,"R","RepEdRoyce","My speech on the House floor supporting @RepMeehan's Justice for Victims of Iranian Terrorism Act: https://t.co/6H9x8Uentm","After",,0.661,18,"After","General-Iran",,1,0
"10/1/15",20:08:04,"R","MikeKellyPA","#HR3457 reminds #Iran that terrorism against Americans will never be tolerated or forgotten. Senate must pass, POTUS must sign. #NotOneCent","After","HR3457 Iran NotOneCent",0.318,18,"After","General-Iran",,1,0
"10/1/15",20:15:53,"R","MikeKellyPA","Iran must get #NotOneCent in sanctions relief AT LEAST until it fully compensates US victims of its terror. https://t.co/5fyzIbyXCd #HR3457","After","NotOneCent HR3457",0.318,18,"After","General-Iran",,1,0
"10/1/15",20:18:52,"R","RepLouBarletta","Iran should get #NotOneCent of economic relief until they pay the $43.5 billion they owe their terror victims. https://t.co/tZ1D3LHtFl","After","NotOneCent",0.277,18,"After","General-Iran",,1,0
"10/1/15",20:30:35,"R","boblatta","#NotOneCent: Justice for Victims of Iranian Terrorism https://t.co/j4hCRFsaRb | https://t.co/61NZ5iHMrU https://t.co/a7nJpytyQ8","After","NotOneCent",0.519,18,"After","General-Iran","Other",1,0
"10/1/15",20:44:20,"R","RepNewhouse","Today I voted to require Iran to pay court-ordered compensation to Iran's state-sponsored terror victims https://t.co/f4ExNiION7","After",,0.361,18,"After","General-Iran",,1,0
"10/1/15",21:00:21,"R","RepRobertHurt","Today, I voted in favor of the Justice for Victims of Iranian Terrorism Act: 
https://t.co/zwjxyURKwN #NotOneCent","After","NotOneCent",0.568,18,"After","General-Iran",,1,0
"10/1/15",21:11:38,"R","RepDanDonovan","I voted for Justice for Victims of Iranian Terrorism Act. Iran should get #notonecent in relief until these families receive their due.","After","notonecent",0.224,18,"After","General-Iran",,1,0
"10/1/15",21:23:41,"R","RepFrenchHill","Here is why @RepMeehan's Victims of Iranian Terrorism Act is so important: https://t.co/DAWdhk3KaF … Proud to support this bill. #NotOneCent",,,,,"After","General-Iran",,1,0
"10/1/15",21:24:58,"R","KeithRothfus","Today I joined my House colleagues to pass H.R. 3457, The Justice for Victims of Iranian Terrorism Act. https://t.co/dPQ7vmU5Dn #NotOneCent","After","NotOneCent",0.494,18,"After","General-Iran",,1,0
"10/1/15",22:00:04,"R","RepFitzpatrick","It’s unconscionable to think that we would allow the world’s largest state sponsor of terror access to billions... https://t.co/Sw1SN8nSRE",,,,,"After","General-Iran",,1,0
"10/12/11",16:39:37,"R","RepPeteKing","My statement on WMD Center “Bio-Response Report Card” which cites failures in bioterrorism preparedness: http://t.co/vXP6k0ZF",,,,,"After","General",,1,0
