Date,Time,R_or_D,screen_name,text,Before_or_After,hashtags,Nominate_dim1,total_victims,Before_or_After_Shooting,case,race,mentions_terror,Shooting_related_terrorism
6/12/16,15:46:17,R,RepMcCaul,This appears to be the worst terrorist attack on American soil since 9/11.,After,,0.449,102,After,Inside,Other,1,1
6/12/16,15:49:19,R,RepMcCaul,"Instead, tragedies like this only strengthen our resolve to fight back against terror &amp; prevail over extremism wherever it emerges.",After,,0.449,102,After,Inside,Other,1,1
6/12/16,15:57:50,D,RepJoeCourtney,Hate/terrorism has struck in Orlando today. America stands with #OrlandoStrong.,After,OrlandoStrong,-0.344,102,After,Inside,Other,1,1
6/12/16,16:15:09,R,RepDanDonovan,Praying for #Orlando victims + families. Our freedom and culture will never yield to hateful violence and terror.,After,Orlando,0.224,102,After,Inside,Other,1,1
6/12/16,16:22:05,D,GwenGraham,This act of terror is a hate crime against the entire LGBT community.  Hate and extremism is dangerous and disgusting in any form.  4/,After,,-0.233,102,After,Inside,Other,1,1
6/12/16,16:26:39,R,RepRyanZinke,Central Florida authorities are asking for blood donors to help victims of the terror attack in Orlando.,After,,0.412,102,After,Inside,Other,1,1
6/12/16,16:38:22,D,RepAdamSchiff,"This morning, I'll be marching in WeHo Pride Parade with heavy heart. We march in solidarity with all victims of terrorism &amp; hatred #Orlando",After,Orlando,-0.348,102,After,Inside,Other,1,1
6/12/16,16:39:48,R,RepLeeZeldin,Our entire country mourns the senseless loss of life in #Orlando after terror attack this AM https://t.co/A1uVuoodmA,After,Orlando,0.36,102,After,Inside,Other,1,1
6/12/16,16:44:43,D,chelliepingree,"Thoughts w/families, police officers in FL shooting. Let’s set aside differences &amp; stand up to gun violence, hate crimes, domestic terror.",,,,,After,Inside,Other,1,1
6/12/16,17:01:14,R,repdavetrott,Saddened by attack in #Orlando. Praying for victims. Reports of Islamic terrorism. America won't be intimidated by sinister ideologies.,After,Orlando,0.374,102,After,Inside,Other,1,1
6/12/16,17:13:03,R,AustinScottGA08,Please join me in praying for the victims of the terror attack in Orlando last night. Let us pray for those we... https://t.co/2cqoBZBIxO,After,,0.572,102,After,Inside,Other,1,1
6/12/16,17:50:46,D,repjimcooper,Horrible news out of Orlando. We must be resolute against terrorism &amp; do more to keep guns out of the hands of maniacs who would do us harm.,After,,-0.161,102,After,Inside,Other,1,1
6/12/16,17:53:08,R,boblatta,I extend my deepest sympathies to the victims and the families of this horrific terrorist attack in Orlando.,After,,0.519,102,After,Inside,Other,1,1
6/12/16,17:58:06,D,RepBrady,Deeply appalled &amp; saddened by the innocent murders in #Orlando. My prayers are with the victims of this hate crime and act of terrorism.,After,Orlando,-0.484,102,After,Inside,Other,1,1
6/12/16,18:10:34,R,PatTiberi,My prayers are with the victims &amp; the people of Orlando. We must stand against these acts of terror that threaten our freedom and values.,After,,0.386,102,After,Inside,Other,1,1
6/12/16,18:24:28,R,USRepGaryPalmer,"My thoughts and prayers go to the victims of the terror attack in #Orlando, their families &amp; the first responders.  https://t.co/7YGrXm1bUM",After,Orlando,0.778,102,After,Inside,Other,1,1
6/12/16,18:34:08,D,repmarkpocan,"1/2 .@SpeakerRyan ""an act of terror and an act of hate"" with an assault weapon. Any chance Congress takes on any of the 3 issues this week?",After,,-0.552,102,After,Inside,Other,1,1
6/12/16,18:44:03,R,CongCulberson,Horrified and deeply saddened by the acts of terror in Orlando. Our thoughts and prayers are with the victims and families.,After,,0.504,102,After,Inside,Other,1,1
6/12/16,18:47:50,R,AnderCrenshaw,". @FLGovScott, @FBI No matter the source, we will not let guard down against terrorism, hatred. #Orlando https://t.co/5Lr2iqPzId",After,Orlando,0.633,102,After,Inside,Other,1,1
6/12/16,18:49:37,R,DarrellIssa,We must be resolute in our efforts to find and stop those who plan and commit these unacceptable acts of violence and terror. (3/3),After,,0.506,102,After,Inside,Other,1,1
6/12/16,18:51:18,D,RepEliotEngel,"The scourge of gun violence, whether by terrorists in Orlando or gangs in Mt. Vernon, must be stopped. We need to get guns off the streets.",After,,-0.408,102,After,Inside,Other,1,1
6/12/16,18:51:43,R,RepMarthaRoby,Horrified &amp; heartbroken by the terrorist attack in Orlando. I ask you to join me in prayers of comfort and healing for everyone affected...,After,,0.368,102,After,Inside,Other,1,1
6/12/16,18:56:05,D,RepEliotEngel,An act of terror and the worst mass shooting in American history. My heart goes out to the people of #Orlando during this horrifying time.,After,Orlando,-0.408,102,After,Inside,Other,1,1
6/12/16,18:59:05,R,RepMarthaRoby,"This is the worst terrorist attack on American soil since September 11, 2001. Though reports on ties to specific groups still coming in...",After,,0.368,102,After,Inside,Other,1,1
6/12/16,19:02:07,R,RepMarthaRoby,We must dispel the notion that our struggle against radical Islamic terrorism is just an overseas fight. That fight is here in the Homeland.,After,,0.368,102,After,Inside,Other,1,1
6/12/16,19:14:34,R,DesJarlaisTN04,I am deeply sadden by today's terrorist attack in Orlando.  My prayers go out to all the families and those affected by this tragedy.,After,,0.594,102,After,Inside,Other,1,1
6/12/16,19:15:19,R,RepKenBuck,My heart breaks for those affected by this horrible act of terrorism in Orlando.,After,,0.747,102,After,Inside,Other,1,1
6/12/16,20:07:06,R,RepComstock,This is an attack on all civilized people.  We must stand united..against..terrorism. https://t.co/RDTiFfkOmv #VA10 https://t.co/xjc8udAOf1,After,VA10,0.275,102,After,Inside,Other,1,1
6/12/16,20:36:02,R,RepPeteKing,Orlando attack is reminder that Islamist terror is a continuing threat 2 Americans overseas &amp; home. Threat greater than any time since 9/11.,After,,0.26,102,After,Inside,Other,1,1
6/12/16,20:44:56,R,michaelcburgess,I am so grateful for the quick reaction of @OrlandoPolice to prevent even more loss in this terror attack on U.S. soil #PrayersForOrlando,After,PrayersForOrlando,0.57,102,After,Inside,Other,1,1
6/12/16,21:10:20,R,TXRandy14,My statement on the Orlando terror attack. https://t.co/yRqziUmpsp,After,,0.71,102,After,Inside,Other,1,1
6/12/16,21:24:28,R,RepWalorski,All Americans stand with the people of Orlando in the wake of today's terrorist attack. (1/2),After,,0.448,102,After,Inside,Other,1,1
6/12/16,22:22:49,D,RepPerlmutter,"The horrific attack in Orlando is a clear act of terrorism &amp; hate. My heart is with the victims, their families and the Orlando community.",After,,-0.281,102,After,Inside,Other,1,1
6/12/16,22:52:25,R,DevinNunes,My statement on the #OrlandoTerrorAttack: https://t.co/Q6f2ItvlgG,After,OrlandoTerrorAttack,0.448,102,After,Inside,Other,1,0
6/12/16,23:12:41,R,RepScottRigell,Teri &amp; I join our nation in deploring the #Orlando terror attack &amp; mourning the profound loss. https://t.co/mdOaEKBj4B,After,Orlando,0.405,102,After,Inside,Other,1,1
