Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
7/20/12,15:52:52,D,After,RepLoisCapps,My thoughts and prayers are with the victims of the horrific shooting in Colorado and their families. What a senseless tragedy.#Aurora,Aurora,-0.389,White,0
12/2/15,22:36:36,D,After,RepJimCosta,My thoughts and prayers are with the victims and all those affected by the tragic shooting in San Bernardino.,,-0.187,Other,0
6/18/15,21:24:45,D,After,RepJimCosta,"My thoughts and prayers are with the victims, their families and the #Charleston community. What a senseless tragedy.  #CharlestonShooting",Charleston CharlestonShooting,-0.187,White,0
9/16/13,20:24:31,D,After,RepJimCosta,"Thoughts &amp; prayers to the @USNavy family, victims, &amp; survivors impacted by the #NavyYardShooting. Our hearts are heavy on this tragic day.",NavyYardShooting,-0.187,Black,0
8/5/12,21:31:41,D,After,RepJimCosta,Thoughts and prayers to the people of #Milwaukee. Senseless tragedy today at the Sikh Temple.,Milwaukee,-0.187,White,0
7/20/12,20:06:00,D,After,RepJimCosta,My thoughts and prayers are with the people of #Aurora. Deeply saddened by the terrible tragedy that has taken place.,Aurora,-0.187,White,0
7/20/12,17:35:01,D,After,RepCardoza,"My thoughts and prayers go out to the families and victims of last night's senseless tragedy in Aurora, CO.",,-0.262,White,0
12/14/12,22:44:35,D,After,RepZoeLofgren,"As a parent, I am shocked by the tragedy in Newtown, CT today, and my heartfelt sympathy and thoughts are with the families of the victims.",,-0.401,White,0
9/17/13,16:12:27,D,After,RepMikeHonda,"Families, victims, &amp; first responders to DC Navy Yard are in my thoughts. We need policies that reduce gun violence before next tragedy",,-0.401,Black,0
12/14/12,19:16:00,D,After,RepMikeHonda,Another horrific #gun #tragedy struck our nation today. My prayers are with all those impacted. http://t.co/2luuO5zL #schoolshooting,gun tragedy schoolshooting,-0.401,White,0
8/5/12,21:20:16,D,After,RepMikeHonda,My heart goes out to victims of terrible gun tragedy at the Sikh Temple in #Wisconsin. http://t.co/5MOlDJa0 #templeshooting #guncontrol #p2,Wisconsin templeshooting guncontrol p2,-0.401,White,0
12/14/12,20:54:06,D,After,RepAnnaEshoo,"My sympathies and prayers are w/ the families of the victims in Newtown, CT today. A national response is needed for this national tragedy.",,-0.382,White,0
7/8/16,16:47:46,D,After,RepSpeier,"America has been gutted by tragedy in #Dallas, Louisiana &amp; Minnesota. We can &amp; must do better. #Enough #DisarmHate https://t.co/knYCitAf33",Dallas Enough DisarmHate,-0.383,Black,0
6/13/16,17:09:51,D,After,RepBarbaraLee,Last year I asked @US_FDA to end prejudiced gay blood ban. Tragedy in #Orlando shows danger of this outdated policy. https://t.co/KdGBCxLRJM,Orlando,-0.687,Other,0
10/24/14,22:01:38,D,After,DorisMatsui,Also saying an extra prayer this afternoon for the students and families affected by the tragic shooting at a high school in Washington.,,-0.434,Native American,0
12/14/12,20:02:17,D,After,DorisMatsui,"No words to describe the horror of the tragedy in Newtown, CT. My thoughts &amp; prayers are w. the victims &amp; families affected by this violence",,-0.434,White,0
7/20/12,17:20:52,D,After,DorisMatsui,"My thoughts and prayers are with the victims and the families affected by last night's tragedy in Aurora, Colorado.",,-0.434,White,0
6/12/16,15:16:57,D,After,RepJaredPolis,Tragic. Today we stand in unity with the entire #Orlando community.,Orlando,-0.279,White,0
6/12/16,21:32:43,D,After,RepDianaDeGette,I send my prayers to all affected by the tragedy in #Orlando. We must honor places of refuge for #LGBT. https://t.co/APxa784D4f,Orlando LGBT,-0.432,White,0
7/8/16,17:12:44,D,After,RepJohnLarson,I am heartbroken by the tragedy in Dallas. My full statement below. https://t.co/h0jo22FE45,,-0.4,Black,0
10/24/14,20:35:33,D,After,RepJohnLarson,"Terrible tragedy in Washington – while epidemic of shootings continue, Congress remains complicit in not acting. Americans deserve a vote",,-0.4,Native American,0
12/14/12,18:58:07,D,After,RepJohnLarson,My thoughts &amp; prayers are with families &amp; friends of victims of this tragedy. I know  we will come together to help Newtown in time of need.,,-0.4,White,0
1/8/11,22:41:21,D,After,RepJohnLarson,"My thoughts & prayers are with my colleague & friend, Rep. Giffords, her family, her staff, & other victims of this tragedy.",,-0.4,White,0
8/3/10,13:18:44,D,After,RepJohnLarson,"My prayers to the employees of Hfd Distributors and the Hollander family, in light of this morning's tragedy",,-0.4,Black,0
10/24/14,21:44:04,D,After,RepJoeCourtney,"Condolences to the Marysville, WA community. Terrible and senseless tragedy today.",,-0.344,Native American,0
6/12/16,13:11:32,D,After,rosadelauro,"The Orlando shooting is tragic and heartbreaking. Keeping the victims, their friends &amp; families, and the community in my thoughts &amp; prayers.",,-0.344,Other,0
12/14/12,20:21:19,D,After,JohnCarneyDE,"Like Americans across U.S., I am overwhelmed w sadness &amp; grief. I offer my deepest condolences to families affected by this horrific tragedy",,-0.256,White,0
7/20/12,13:48:07,D,After,JohnCarneyDE,Terribly saddened by horrific news out of CO -- a tragedy no family or community should ever have to endure. Praying for everyone affected.,,-0.256,White,0
6/12/16,15:06:44,D,After,PatrickMurphyFL,I am devastated by the news of the shooting in Orlando. My heart goes out to the victims and all those affected by this horrifying tragedy.,,-0.186,Other,0
11/28/15,19:06:10,D,After,PatrickMurphyFL,Our thoughts and prayers are not enough after yet another tragedy. It is past time for Congress to pass legislation to prevent gun violence.,,-0.186,White,0
12/14/12,18:49:27,D,After,PatrickMurphyFL,My thoughts and prayers are with all those affected by the tragic shooting today in Connecticut.,,-0.186,White,0
7/20/12,18:40:11,D,After,PatrickMurphyFL,My thoughts and prayers today will be with the victims and families of the tragic shooting in Colorado.,,-0.186,White,0
7/8/16,14:17:02,D,After,RepHastingsFL,"Communities in #BatonRouge #Louisiana, #FalconHeights #Minnesota, &amp; #Dallas #Texas have seen tragedy this week. My prayers are with them.",BatonRouge Louisiana FalconHeights Minnesota Dallas Texas,-0.186,Black,0
6/12/16,16:25:20,D,After,GwenGraham,Today let us all stand together to love and support all of those hurt by this tragedy. 6/6,,-0.233,Other,0
6/12/16,19:35:01,D,After,repjohnlewis,How many more times will we allow tragedy to be brought about by gun violence before we say enough is enough?,,-0.589,Other,0
12/14/12,22:06:13,D,After,repjohnlewis,We as a nation and as a people must take a stand against the tragic problem of mass shooting in American schools.,,-0.589,White,0
8/5/12,20:12:28,D,After,repjohnlewis,How many more?  When will it stop? I am deeply saddened by the tragedy in Wisconsin.,,-0.589,White,0
4/3/14,13:57:31,D,After,SanfordBishop,"Southwest and Middle Georgia’s thoughts &amp; prayers are with the victims, families &amp; all those affected by the terrible tragedy at Ft. Hood.",,-0.281,Latino,0
12/14/12,21:02:40,D,After,SanfordBishop,"My heart goes out to the victims of today’s senseless tragedy at Sandy Hook Elementary School in Newtown, CT. Please #PrayforNewtown",PrayforNewtown,-0.281,White,0
12/14/12,19:32:37,D,After,RepBobbyRush,"Today’s shooting in CT is a nat’l tragedy. I encourage everyone to join me in prayer for the victims, their families, friends, &amp; community.",,-0.478,White,0
7/20/12,15:55:40,D,After,RepBobbyRush,"My thoughts &amp; prayers are with the families &amp; survivors of the tragic &amp; senseless shooting in Colorado. ""Violence has NO boundaries...""",,-0.478,White,0
9/16/13,21:19:56,D,After,RepLipinski,Keep all those touched by this tragic event in your thoughts and prayers throughout the day &amp; the difficult days ahead. #NavyYardShooting,NavyYardShooting,-0.233,Black,0
7/17/16,18:06:57,D,After,RepRobinKelly,My thoughts and prayers are with the #BatonRouge law enforcement community as the tragedy there continues to unfold,BatonRouge,-0.454,Latino,0
6/18/15,15:26:12,D,After,RepRobinKelly,My condolences go out to the City of Charleston and the families affected by this horrible tragedy #CharlestonShooting,CharlestonShooting,-0.454,White,0
7/17/15,20:38:19,D,After,RepDannyDavis,Sending my deepest condolences to the families of the Marines we lost in the tragic shooting in Tennessee.,,-0.486,Other,0
12/2/15,23:18:03,D,After,RepBillFoster,The tragic events in #SanBernadino once again remind us that we must take action to stop #GunViolence,SanBernadino GunViolence,-0.223,Other,0
6/18/15,14:34:26,D,After,RepCheri,"My thoughts &amp; prayers are with the victims, families, and all those impacted by the tragedy in Charleston.",,-0.237,White,0
