Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Al Franken,Minnesota,D,S,2009-2018,10-Jul,@SenFranken,NA,3992
Claire McCaskill,Missouri,D,S,2007-present,8-Sep,@clairecmc,NA,4905
Roy Blunt,Missouri,R,S,2011-present,9-Feb,@RoyBlunt,NA,9807
Jon Tester,Montana,D,S,2007-present,12-Mar,@SenatorTester,NA,3983
John Walsh,Montana,D,S,2014-2015,NA,NA,NA,50.3k
Deb Fischer,Nebraska,R,S,2013-present,13-Jan,@SenatorFischer,NA,4497
Ben Sasse,Nebraska,R,S,2015-present,15-Jan,@SenSasse,NA,8150
Harry Reid,Nevada,D,S,1987-2017,8-Oct,@SenatorReid,NA,4039
Dean Heller,Nevada,R,S,2011-present,11-Mar,@SenDeanHeller,NA,6645
Jeanne Shaheen,New Hamshire,D,S,2009-present,10-Nov,@SenatorShaheen,NA,6323
Kelly Ayotte,New Hamshire,R,S,2011-2017,10-Dec,@KellyAyotte,NA,9666
Bob Menendez,New Jersey,D,S,2006-present,9-Jan,@SenatorMenendez,NA,7703
Cory Booker,New Jersey,D,S,Oct 2013-present,8-Aug,@CoryBooker,NA,61.8k
Tom Udall,New Mexico,D,S,2009-present,9-Jul,@SenatorTomUdall,NA,5153
Martin Heinrich,New Mexico,D,S,2013-present,13-Jan,@MartinHeinrich,NA,6281
Chcuk Schumer,New York,D,S,1999-present,8-Nov,@SenSchumer,NA,13.1k
Richard Burr,North Carolina,R,S,2005-present,9-Feb,@SenatorBurr,NA,3478
Tom Tillis,North Carolina,R,S,2015-present,15-Jan,@SenThomTillis ‏,NA,3361
Heidi Heitkamp,North Dakota,D,S,2013-present,13-Jan,@SenatorHeitkamp,NA,10.7k
Rob Portman,Ohio,R,S,2011-present,9-Jan,@senrobportman,NA,12.5k
Ron Wyden,Oregon,D,S,1996-present,11-Feb,@RonWyden,NA,6501
Jeff Merkley,Oregon,D,S,2009-present,9-Apr,@SenJeffMerkley,NA,7618
"Bob Casey, Jr.",Pennsylvania,D,S,2007-present,13-Apr,@SenBobCasey,NA,7769
Pat Toomey,Pennsylvania,R,S,2011-present,10-Nov,@SenToomey,NA,4371
Sheldon Whitehouse,Rhode Island,D,S,2007-present,11-Jan,@SenWhitehouse,NA,8729
Jack Reed,Rhode Island,D,S,1997-present,12-Feb,@SenJackReed,NA,5086
Lindsey Graham,South Carolina,R,S,2003-present,11-Dec,@LindseyGrahamSC,NA,7813
Jim DeMint,South Carolina,R,S,2005-2013,7-Oct,@JimDeMint,NA,6051
John Thune,South Dakota,R,S,2005-present,11-May,@SenJohnThune,NA,4486
Bob Corker,Tennessee,R,S,2007-present,9-Sep,@SenBobCorker,NA,4104
Lamar Alexander,Tennessee,R,S,2003-present,9-Sep,@SenAlexander,NA,4454
Kay Bailey Hutchison,Texas,R,S,1993-2013,10-Apr,@kaybaileyhutch,NA,4650
John Cornyn,Texas,R,S,2002-present,8-Feb,@JohnCornyn,NA,27.2k
Ted Cruz,Texas,R,S,2013-present,9-Mar,@tedcruz,NA,21.1k
