Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
Gary Miller,California,R,H,1995-2015,NA,NA,,
Joe Baca,California,D,H,1998-2013,NA,NA,,
Ken Calvert,California,R,H,1993-Present,9-Mar,@KenCalvert,,4725
Mary Bono,California,R,H,1998-2013,9-Jan,@MaryBonoUSA,,7232
Dana Rohrabacher,California,R,H,1989-Present,9-Jan,@DanaRohrabacher,,13k
Loretta Sanchez,California,D,H,1997-2017,10-Jan,@LorettaSanchez,,
John Campbell,California,R,H,2000-2015,NA,NA,,
Darrell Issa,California,R,H,2001-present,9-Mar,@DarrellIssa,,21.2k
Brian Bibray,California,R,H,2006-2013,9-Jul,@BilbrayCA50,,
Bob Filner,California,D,H,1993-2012,Joined after losing office,,,
Duncan Lee Hunter,California,R,H,1981-2009,NA,NA,,
Susan Davis,California,D,H,2001-Present,11-Dec,@RepSusanDavis,,
Duncan Hunter,California,R,H,2008-Present,13-Mar,@Rep_Hunter,,
Tom McClintock,California,R,H,2009-Present,9-Jun,@RepMcClintock,,
John Garamendi,California,D,H,2009-Present,9-Nov,@RepGaramendi,,12.1k
Judy Chu,California,D,H,2009-Present,10-Sep,@RepJudyChu,,4382
Jeff Denham,California,R,H,2002-Present,11-Feb,@RepJeffDenham,,
Karen Bass,California,D ,H,2004-Present,11-Jan,@RepKarenBass,,4208
Janice Hahn,California,D ,H,2011-2016,11-Jul,@SupJaniceHahn,,5409
Doug LaMalfa,California,R,H,"2002-2008, 2010-2012, 2013-Present",13-Jan,@RepLaMalfa,,
Jared Huffman,California,D ,H,2006-Present,13-Jan,@RepHuffman,,
Ami Bera,California,D ,H,2013-Present,12-Nov,@RepBera,,
Paul Cook,California,R,H,2006-Present,13-Jan,@RepPaulCook,,
Eric Swalwell,California,D ,H,2013-Present,12-Nov,@RepSwalwell,,
David Valadao,California,R,H,2013-Present,13-Jan,@RepDavidValadao,,
Julia Brownley,California,D,H,2006-Present,13-Mar,@JuliaBrownley26,,3129
Tony Cardenas,California,D,H,2013-Present,13-Feb,@RepCardenas,,7003
Gloria Negrete McLeod,California,D ,H,2013-2015,12-Aug,@Negrete_McLeod,,
Raul Ruiz,California,D,H,2013-Present,13-Jan,@CongressmanRuiz,,
Mark Takano,California,D,H,2013-Present,12-Dec,@RepMarkTakano,,
Alen Lowenthal,California,D,H,2004-Present,13-Jan,@RepLowenthal,,3385
Juan Vargas,California,D,H,2013-Present,13-Mar,@RepJuanVargas,,
Scott Peters,California,D,H,2013-Present,13-Jan,@RepScottPeters,,8507
Mark DeSaulnier,California,D ,H,2015-Present,15-Jan,@RepDeSaulnier,,
Ted Lieu,California,D,H,2015-Present,9-Feb,@tedlieu,,17.7k
Norma Torres,California,D ,H,2015-Present,11-Jan,@NormaJTorres,,5771
Mimi Walters,California,R,H,2015-Present,9-Jun,@RepMimiWalters,,4440
Diana Degette,Colorado,D,H,1992-Present,9-Apr,@RepDianaDeGette,,4073
Mark Udall,Colorado,D,H,1997-2009,ALREADY IN SENATE,,,
John Salazar,Colorado,D ,H,2005-2011,NA,NA,,
Marilyn Musgrave,Colorado,R,H,2003-2009,NA,NA,,
Doug Lamborn,Colorado,R,H,2007-Present,12-May,@RepDLamborn,,4198
Thomas G Tancredo,Colorado,R,H,1999-2009,NA,NA,,
Ed Perlmutter,Colorado,D,H,2007-Present,9-Feb,@RepPerlmutter,,4106
Jared Polis,Colorado,D,H,2009-Present,12-Jan,@RepJaredPolis,,
Betsy Markey,Colorado,D,H,2009-2011,9-Jun,@BetsyMarkey,,
Mike Coffman,Colorado,R,H,2009-Present,9-Jan,@RepMikeCoffman,,3346
Scott Tipton,Colorado,R,H,2009-Present,11-Jan,@RepTipton,,
Cory Gardner,Colorado,R,H,2005-2015,11-Jan,ALREADY IN THE SENATE,,
Ken Buck,Colorado,R,H,2015-Present,14-Nov,@RepKenBuck,,
John Larson,Connecticut,D ,H,1999-Present,9-Jun,@RepJohnLarson,,
Joe Courtney,Connecticut,D ,H,2007-Present,9-Oct,@RepJoeCourtney,,5559
Rosa DeLauro,Connecticut,D ,H,1991-Present,10-May,@rosadelauro,,6103
Chrsitopher Shays,Connecticut,R,H,1987-2009,NA,NA,,
Chris Murphy,Connecticut,D,H,1999-2013,,ALREADY IN THE SENATE,,
Jim Himes,Connecticut,D ,H,2009-Present,9-Apr,@jahimes,,8737
Elizabeth Esty,Connecticut,D,H,"2009-2011, 2013-Present",13-Jan,@RepEsty,,
Michael N. Castle,Delaware,R,H,1993-2011,NA,NA,,
John Carney,Delaware,D,H,2011-2017,11-Jan,@JohnCarneyDE,,
Jeff Miller,Florida,R,H,2001-2017,13-Jan,@RepJeffMiller,,
Allen Boyd,Florida,D ,H,1997-2011,NA,NA,,
Ginny Brown-Waite,Florida,R,H,2003-2011,NA,NA,,
Ander Crenshaw,Florida,R,H,2001-2017,9-Feb,@AnderCrenshaw,,
Corrine Brown,Florida,D,H,1982-2017,,NOT VERIFIED,,
Cliff Stearns,Florida,R,H,1989-2013,9-Feb,@RepCliffStearns,,
John Mica,Florida,R,H,1993-2017,NA,NA,,
Rick Keller,Florida,R,H,2001-2009,NA,NA,,
Gus Billirakis,Florida,R,H,1998-Present,9-Mar,@RepGusBilirakis,,
Bill Young,Florida,R,H,1971-2013,NA,NA,,
Kathy Castor,Florida,D ,H,2007-Present,13-Sep,@USRepKCastor,,4482
Adam Putnam,Florida,R,H,2011- present,9-Jun,@adamputnam,,4403
Vern Buchanan,Florida,R,H,2007-Present,9-Feb,@VernBuchanan,,
Connie Mack IV,Florida,R,H,2005-2013,9-Sep,@RepConnieMack,,
Dave Weldon,Florida,R,H,1995-2009,NA,NA,,
Alan Grayson,Florida,D ,H,"2009-2011, 2013-2017",9-May,@AlanGrayson,,
Bill Posey,Florida,R,H,2009-present,9-Mar,@congbillposey,,
Tim Mahoney,Florida,D,H,2007-2009,NA,NA,,
Kendrick Meek,Florida,D,H,2003-2011,NA,NA,,
Ileana Ros-Lehtinen,Florida,R,H,1989-Present,8-Apr,@RosLehtinen,,28.9k
Robert Wexler,Florida,D ,H,1997-2010,NA,NA,,
Debbie Wasserman Schultz,Florida,D ,H,2005-Present,10-Feb,@DWStweets,,9815
Tom Rooney,Florida,R,H,2009-Present,9-Mar,@TomRooney,,
Ted Deutch,Florida,D ,H,2010-Present,10-Apr,@RepTedDeutch,,6334
Steve Southerland,Florida,R,H,2011-2015,11-Jan,@Rep_Southerland,,
Rich Nugnet,Florida,R,H,2011-2017,11-Jan,@RepRichNugent,,
Daniel Webster,Florida,R,H,"1998-2008, 2011-present",11-Apr,@RepWebster,,3194
Dennis Ross,Florida,R,H,"2000-2008, 2011-Present",9-Apr,@RepDennisRoss,,13k
Frederica Wilson,Florida,D ,H,1998-Present,11-Jan,@RepWilson,,10.8k
Ted Yoho,Florida,R,H,2013-Present,13-Jan,@RepTedYoho,,
Ron DeSantis,Florida,R,H,2013-Present,13-Jan,@RepDeSantis,,
David Jolly,Florida,R,H,2014-2017,14-May,@USRepDavidJolly,,
Patrick Murphy,Florida,D ,H,2013-2017,11-Mar,@PatrickMurphyFL,,16.2k
Curt Clawson,Florida,R,H,2014-2017,14-Aug,@RepCurtClawson,,
Alcee Hastings,Florida,D ,H,1993-present,14-Apr,@RepHastingsFL,,
Gwen Graham,Florida,D ,H,2015-2017,13-Mar,@GwenGraham,,
Lincoln Diaz-Balart,Florida,R,H,1993-2011,Joined after losing office,,,
Ron Klein,Florida,D ,H,2007-2011,NA,NA,,
Tom Feeney,Florida,R,H,2003-2009,NA,NA,,
Mario Diaz-Balart,Florida,R,H,2003-Present,9-May,@MarioDB,,6065
Suzanne Kosmas,Florida,D ,H,2009-2011,NA,NA,,
Allen West,Florida,R,H,2011-2013,11-Jan,@AllenWest,,11.5k
Sandy Adams,Florida,R,H,2003-2013,10-Nov,@RepSandyAdams,,
David Rivera,Florida,R,H,2002-2013,11-Jan,@RepRivera,,
Trey Radel,Florida,R,H,Jan 2013-Jan 2014,8-Nov,@treyradel,,8849
Lois Frankel,Florida,D ,H,2013-Present,13-Jan,@RepLoisFrankel,,5020
Joe Garcia,Florida,D ,H,2013-2015,12-Nov,@RepJoeGarcia,,
Carlos Curbelo,Florida,R,H,2015-Present,14-Oct,@RepCurbelo,,3365
Jack Kingston,Georgia,R,H,1985-2015,9-Apr,@JackKingston,,4189
Sanford Bishop,Georgia,D ,H,1991-Present,11-Feb,@SanfordBishop,,
Lynn Westmoreland,Georgia,R,H,2005-2017,10-Apr,NOT VERIFIED @Westmoreland_GA,,
Hank Johnson,Georgia,D ,H,2007-Present,March 2-009,@RepHankJohnson,,4545
John Lewis,Georgia,D,H,1987-Present,9-Apr,@repjohnlewis,,
Tom Price,Georgia,R,H,2005-2017,Joined after losing office,,,
John Linder,Georgia,R,H,1993-2011,NA,NA,,
Jim Marshall,Georgia,D,H,2003-2011,NA,Na,,
Nathan Deal,Georgia,R,H,2007-2010,Joined when becoming governor,,,
Charlie Norwood,Georgia,R,H,DIED in Feb 2007,NA,Na,,
Paul Broun,Georgia,R,H,2007-2015,9-Jan,@PaulBrounMD,,
Phil Gingrey,Georgia,R,H,2003-2015,9-Apr,@DrPhilGingrey,,
John Barrow,Georgia,D,H,2005-2015,NA,,,
David Scott,Georgia,D,H,2003-Present,10-Jul,@repdavidscott,,
Tom Graves,Georgia,R,H,2003-Present,10-Sep,@RepTomGraves,,3794
Rob Woodall,Georgia,R,H,2011- present,14-Mar,@RepRobWoodall,,
Austin Scott,Georgia,R,H,1996-Present,11-Jan,@AustinScottGA08,,
Doug Collins,Georgia,R,H,2013-Present,13-Jan,@RepDougCollins,,3341
Buddy Carter,Georgia,R,H,"2005-2009, 2015-Present",15-Jan,@RepBuddyCarter,,
Jody Hice,Georgia,R,H,2015-Present,,@CongressmanHice,,
Barry Loudermilk,Georgia,R,H,2015-Present,14-Dec,@RepLoudermilk,,
Rick Allen,Georgia,R,H,2015-Present,15-Jan,@RepRickAllen,,
Neil Abercrombie,Hawaii,D ,H,1991-2010,7-Nov,@neilabercrombie,,7140
Mazie Hirono,Hawaii,D,H,2007-2013,,ALREADY IN THE SENATE,,
Charles Djou,Hawaii,R,H,May 2010-Jan 2011,9-Mar,NOT VERIFIED@Djou4Hawaii,,
Colleen Hanabusa,Hawaii,D ,H,"Jan 2011-2015, Nov 2016-Present",11-Jan,@RepHanabusa,,
Tulsi Gabbard,Hawaii,D ,H,2013-Present,13-Jan,@TulsiPress,,3747
Mark Takai,Hawaii,D ,H,1994-2016,15-Jan,@RepMarkTakai,,
